traveller_id,origin_city,traveller_type,adults,children,seniors,total_party_size,pace,total_budget,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,travel_month,nights,archetype,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,split
T000562,Kochi,couple,2,0,0,2,easy_going,23266,medium,standard,no_restriction,no_preference,balanced,November,2,beach_traveller,53,33,74,86,68,57,53,58,14,91,79,38,train
T000563,Bengaluru,friends,5,0,0,5,balanced,28223,low,budget,no_restriction,no_preference,private_transport,January,3,balanced_traveller,57,74,21,26,26,57,36,66,61,65,25,76,train
T000564,Chennai,friends,4,0,0,4,packed,34141,medium,premium,no_restriction,non_vegetarian,fastest,December,1,culture_traveller,50,77,54,50,75,24,20,45,87,77,49,88,train
T000565,Kolkata,solo,1,0,0,1,balanced,27464,high,standard,no_restriction,vegetarian,fastest,March,2,balanced_traveller,54,80,54,55,67,57,54,68,62,60,55,52,train
T000566,Ahmedabad,family,4,4,0,8,balanced,54778,low,premium,no_restriction,vegetarian,balanced,January,4,family_traveller,72,73,84,61,48,76,66,49,48,54,53,72,train
T000567,Mumbai,couple,2,0,0,2,easy_going,33002,medium,budget,no_restriction,non_vegetarian,fastest,February,7,senior_traveller,87,84,71,54,54,22,5,40,63,38,54,53,train
T000568,Kolkata,family,5,1,1,7,packed,170855,high,budget,no_restriction,no_preference,fastest,November,8,family_traveller,75,88,78,47,63,46,53,58,49,51,75,54,train
T000569,Kochi,seniors,2,0,3,5,balanced,54924,medium,standard,wheelchair_friendly_preference,vegan,private_transport,February,3,food_traveller,94,75,55,72,53,23,70,77,41,39,27,61,train
T000570,Jaipur,family,4,1,1,6,packed,41926,low,luxury,no_restriction,vegetarian,lowest_cost,October,1,senior_traveller,79,98,80,42,56,23,3,61,71,58,47,50,train
T000571,Chennai,couple,2,0,0,2,balanced,32838,medium,standard,no_restriction,no_preference,balanced,November,3,adventure_traveller,54,42,84,80,54,94,55,37,37,100,52,29,test
T000572,Indore,friends,6,0,0,6,packed,29544,low,standard,no_restriction,non_vegetarian,balanced,October,3,family_traveller,86,65,77,60,70,59,74,67,51,55,61,51,train
T000573,Kochi,couple,2,0,0,2,easy_going,58685,medium,premium,no_restriction,no_preference,balanced,January,4,adventure_traveller,69,66,99,90,48,85,50,14,40,79,63,19,train
T000574,Ahmedabad,couple,2,0,0,2,balanced,100554,high,standard,no_restriction,non_vegetarian,lowest_cost,February,7,beach_traveller,48,23,65,81,70,46,40,55,15,77,42,26,train
T000575,Delhi,friends,3,0,0,3,balanced,37027,medium,standard,no_restriction,non_vegetarian,lowest_cost,November,3,senior_traveller,42,37,53,56,22,20,80,7,49,19,31,27,train
T000576,Kochi,family,4,4,1,9,balanced,54222,low,standard,no_restriction,vegetarian,balanced,January,2,senior_traveller,93,75,80,56,70,21,21,37,46,70,32,73,validation
T000577,Ahmedabad,couple,2,0,0,2,packed,25213,low,budget,no_restriction,non_vegetarian,fastest,October,5,senior_traveller,9,45,75,94,52,35,4,58,38,90,48,76,train
T000578,Kolkata,couple,2,0,0,2,balanced,20384,low,premium,no_restriction,no_preference,private_transport,October,2,wellness_traveller,77,48,74,66,74,30,27,50,75,39,76,60,train
T000579,Kolkata,couple,2,0,0,2,balanced,38604,low,luxury,no_restriction,no_preference,public_transport,January,3,nightlife_traveller,85,52,57,51,56,47,77,77,10,69,66,7,train
T000580,Nagpur,friends,5,0,0,5,balanced,98752,medium,budget,no_restriction,no_preference,balanced,November,9,wellness_traveller,94,72,100,71,76,31,29,80,45,63,48,63,train
T000581,Chennai,couple,2,0,0,2,balanced,34892,low,standard,no_restriction,vegetarian,fastest,February,5,culture_traveller,57,77,79,53,37,10,3,35,79,81,71,87,train
T000582,Delhi,solo,1,0,0,1,packed,52124,medium,premium,no_restriction,no_preference,balanced,March,4,wellness_traveller,77,21,56,91,64,17,79,44,1,48,81,42,validation
T000583,Chennai,couple,2,0,0,2,easy_going,47654,high,premium,no_restriction,vegetarian,private_transport,January,2,food_traveller,88,76,59,69,60,13,53,90,43,45,27,51,train
T000584,Kochi,friends,6,0,0,6,easy_going,36537,medium,standard,no_restriction,vegetarian,lowest_cost,December,2,senior_traveller,66,69,96,62,61,25,27,60,45,66,64,74,train
T000585,Delhi,couple,2,0,0,2,easy_going,17184,low,standard,no_restriction,vegetarian,private_transport,July,2,senior_traveller,75,80,81,79,53,0,38,62,55,51,45,80,test
T000586,Nagpur,solo,1,0,0,1,packed,75204,high,premium,no_restriction,vegetarian,private_transport,November,6,senior_traveller,39,80,40,82,10,51,58,89,9,33,65,97,train
T000587,Kochi,couple,2,0,0,2,balanced,32314,medium,standard,no_restriction,no_preference,balanced,March,3,balanced_traveller,69,56,54,38,65,59,45,53,58,50,57,36,test
T000588,Indore,solo,1,0,0,1,balanced,66969,low,premium,no_restriction,vegetarian,balanced,July,10,family_traveller,85,93,81,74,61,61,85,76,77,47,83,56,train
T000589,Kochi,seniors,1,0,1,2,easy_going,15774,medium,standard,no_restriction,no_preference,public_transport,August,2,senior_traveller,77,74,71,51,58,35,23,70,39,51,65,61,train
T000590,Indore,couple,2,0,0,2,packed,12547,low,budget,no_restriction,non_vegetarian,fastest,November,3,family_traveller,90,83,89,63,49,37,45,48,48,68,68,83,validation
T000591,Nagpur,friends,5,0,0,5,easy_going,60729,medium,standard,no_restriction,vegetarian,public_transport,October,6,adventure_traveller,48,44,85,70,66,85,52,19,42,88,59,23,train
T000592,Hyderabad,friends,7,0,0,7,balanced,99439,high,premium,no_restriction,vegetarian,balanced,March,3,food_traveller,93,76,49,49,50,19,41,90,55,86,4,76,train
T000593,Nagpur,family,5,1,0,6,packed,85743,medium,budget,no_restriction,no_preference,private_transport,November,8,culture_traveller,56,81,66,59,65,19,23,54,90,84,55,80,train
T000594,Chennai,family,5,4,1,10,balanced,138338,low,luxury,no_restriction,no_preference,lowest_cost,March,7,senior_traveller,75,78,87,45,56,15,30,67,34,69,49,59,train
T000595,Mumbai,couple,2,0,0,2,easy_going,133482,medium,luxury,no_restriction,jain,fastest,November,6,family_traveller,67,62,88,18,79,86,97,80,12,94,81,21,train
T000596,Chennai,seniors,0,0,3,3,packed,20987,low,standard,no_restriction,no_preference,balanced,January,2,senior_traveller,68,79,86,51,78,41,9,55,48,54,54,68,validation
T000597,Delhi,family,4,2,1,7,balanced,34339,medium,budget,wheelchair_friendly_preference,vegetarian,lowest_cost,September,1,adventure_traveller,50,66,80,90,43,81,50,4,56,95,46,18,train
T000598,Chennai,family,4,2,0,6,packed,40800,medium,standard,no_restriction,no_preference,private_transport,December,2,senior_traveller,89,84,82,70,53,11,37,79,48,55,69,56,train
T000599,Mumbai,seniors,2,0,1,3,packed,26590,low,standard,no_restriction,non_vegetarian,public_transport,February,4,senior_traveller,85,84,85,62,40,9,6,70,76,30,75,58,train
T000600,Chennai,couple,2,0,0,2,balanced,38369,medium,premium,no_restriction,no_preference,balanced,October,3,food_traveller,78,83,33,47,33,11,71,72,65,91,38,58,validation
T000601,Chennai,friends,4,0,0,4,packed,52592,low,premium,no_restriction,non_vegetarian,fastest,July,5,family_traveller,78,79,66,92,80,21,38,34,50,95,61,31,validation
T000602,Kochi,family,4,1,1,6,easy_going,44985,medium,budget,no_restriction,no_preference,balanced,December,3,family_traveller,77,74,64,67,50,67,61,64,51,47,58,68,test
T000603,Pune,friends,5,0,0,5,balanced,74408,medium,standard,no_restriction,vegan,fastest,March,4,adventure_traveller,21,58,12,10,82,11,60,35,89,70,5,89,train
T000604,Pune,couple,2,0,0,2,easy_going,34240,medium,premium,no_restriction,vegetarian,fastest,November,2,balanced_traveller,61,51,64,69,70,43,73,74,75,55,47,45,train
T000605,Delhi,family,2,2,0,4,balanced,66342,medium,standard,no_restriction,vegan,balanced,April,5,beach_traveller,60,14,83,84,69,44,72,57,13,77,44,0,train
T000606,Bengaluru,family,4,4,0,8,easy_going,82974,low,premium,no_restriction,no_preference,private_transport,October,6,family_traveller,93,85,63,49,72,76,73,54,41,56,57,75,validation
T000607,Pune,family,2,1,0,3,easy_going,48080,medium,budget,no_restriction,no_preference,balanced,May,8,beach_traveller,57,17,77,81,50,86,54,52,12,96,37,24,train
T000608,Hyderabad,family,4,1,0,5,balanced,104879,high,premium,no_restriction,vegetarian,balanced,December,3,beach_traveller,56,5,91,92,59,54,64,54,0,86,67,38,train
T000609,Pune,couple,2,0,0,2,packed,43074,high,standard,no_restriction,no_preference,public_transport,November,3,culture_traveller,51,77,37,57,62,17,19,62,93,78,42,81,test
T000610,Mumbai,seniors,1,0,1,2,balanced,69526,high,premium,no_restriction,no_preference,lowest_cost,January,4,senior_traveller,91,72,68,71,54,14,18,59,50,63,45,53,train
T000611,Jaipur,couple,2,0,0,2,packed,39303,high,standard,no_restriction,vegetarian,private_transport,March,3,balanced_traveller,16,43,78,88,75,97,1,61,11,91,93,30,train
T000612,Mumbai,couple,2,0,0,2,balanced,67413,high,luxury,no_restriction,no_preference,balanced,November,2,family_traveller,75,66,79,27,43,87,52,39,57,46,67,46,train
T000613,Pune,seniors,1,0,1,2,easy_going,19443,medium,budget,no_restriction,no_preference,fastest,December,3,senior_traveller,79,80,91,47,64,11,27,52,54,66,65,55,test
T000614,Nagpur,couple,2,0,0,2,easy_going,47265,medium,standard,no_restriction,no_preference,balanced,December,5,beach_traveller,72,26,92,82,65,69,69,67,28,97,50,17,train
T000615,Mumbai,friends,3,0,0,3,packed,78448,low,premium,no_restriction,no_preference,balanced,March,7,senior_traveller,77,83,88,47,45,20,27,74,44,53,71,80,train
T000616,Chennai,family,4,2,1,7,easy_going,90798,medium,premium,no_restriction,non_vegetarian,private_transport,November,4,family_traveller,80,88,70,44,40,56,38,48,43,74,45,41,test
T000617,Kochi,solo,1,0,0,1,balanced,107196,medium,luxury,no_restriction,non_vegetarian,fastest,November,7,balanced_traveller,72,62,33,42,48,54,41,54,78,61,59,44,validation
T000618,Indore,couple,2,0,0,2,packed,163071,medium,premium,no_restriction,non_vegetarian,lowest_cost,December,13,balanced_traveller,32,74,50,50,52,60,43,53,63,59,61,53,train
T000619,Kochi,couple,2,0,0,2,easy_going,28027,low,standard,no_restriction,non_vegetarian,balanced,November,4,nightlife_traveller,86,48,71,40,37,55,75,71,11,47,57,11,validation
T000620,Delhi,couple,2,0,0,2,easy_going,88092,low,luxury,no_restriction,no_preference,private_transport,October,6,food_traveller,81,74,41,66,47,0,67,85,55,46,18,71,train
T000621,Kolkata,family,2,2,0,4,easy_going,42210,medium,budget,no_restriction,vegetarian,balanced,March,5,family_traveller,80,83,70,57,46,44,49,43,64,54,66,51,train
T000622,Indore,solo,1,0,0,1,easy_going,20374,low,budget,no_restriction,vegan,balanced,January,6,nightlife_traveller,77,45,70,47,56,39,82,72,4,55,69,25,train
T000623,Nagpur,solo,1,0,0,1,balanced,32570,medium,standard,no_restriction,no_preference,balanced,January,4,wellness_traveller,92,44,92,51,98,11,18,46,48,73,62,69,train
T000624,Bengaluru,solo,1,0,0,1,easy_going,25383,low,standard,no_restriction,no_preference,private_transport,August,5,family_traveller,79,68,70,51,81,57,49,48,41,67,55,82,train
T000625,Delhi,family,5,2,0,7,balanced,74896,medium,standard,no_restriction,no_preference,public_transport,January,4,family_traveller,76,86,95,60,66,63,79,61,65,56,47,42,validation
T000626,Delhi,couple,2,0,0,2,balanced,19520,medium,standard,no_restriction,non_vegetarian,lowest_cost,January,2,nightlife_traveller,80,72,30,71,46,60,76,97,21,48,53,21,train
T000627,Kochi,solo,1,0,0,1,packed,70211,high,luxury,no_restriction,no_preference,private_transport,November,3,culture_traveller,36,76,71,78,84,20,25,66,92,84,68,85,train
T000628,Indore,solo,1,0,0,1,easy_going,77242,low,luxury,no_restriction,no_preference,lowest_cost,December,7,nightlife_traveller,81,51,54,48,50,50,79,87,25,75,71,45,train
T000629,Nagpur,solo,1,0,0,1,balanced,11770,high,budget,no_restriction,no_preference,balanced,February,2,food_traveller,22,11,37,48,45,82,25,88,90,95,18,24,test
T000630,Jaipur,couple,2,0,0,2,packed,94497,medium,luxury,no_restriction,no_preference,lowest_cost,December,4,beach_traveller,44,25,89,78,47,63,39,43,11,85,59,33,train
T000631,Kolkata,family,2,2,0,4,easy_going,69419,medium,premium,no_restriction,vegetarian,fastest,October,4,family_traveller,79,85,96,39,51,46,41,58,57,35,57,42,test
T000632,Pune,friends,6,0,0,6,easy_going,116060,medium,luxury,no_restriction,non_vegetarian,private_transport,February,5,culture_traveller,67,82,74,63,54,4,38,66,96,99,41,71,validation
T000633,Mumbai,couple,2,0,0,2,easy_going,330841,high,luxury,no_restriction,vegetarian,lowest_cost,December,8,senior_traveller,72,93,91,62,60,41,0,71,51,70,58,42,train
T000634,Kolkata,solo,1,0,0,1,balanced,8291,medium,budget,no_restriction,no_preference,fastest,November,2,nightlife_traveller,81,59,44,47,71,38,85,79,7,80,45,5,train
T000635,Bengaluru,seniors,0,0,2,2,packed,26305,high,budget,wheelchair_friendly_preference,vegan,balanced,May,2,senior_traveller,91,92,87,56,56,16,0,65,59,66,55,64,train
T000636,Pune,couple,2,0,0,2,packed,41359,low,standard,no_restriction,vegetarian,balanced,January,8,wellness_traveller,73,48,80,54,92,18,44,51,62,69,71,72,train
T000637,Nagpur,friends,4,0,0,4,packed,35307,medium,standard,no_restriction,no_preference,fastest,April,2,balanced_traveller,60,64,52,56,30,61,58,43,55,53,78,44,train
T000638,Mumbai,friends,6,0,0,6,balanced,78961,low,premium,no_restriction,non_vegetarian,private_transport,December,6,nightlife_traveller,87,60,62,53,44,39,68,96,0,71,47,35,test
T000639,Ahmedabad,family,3,4,0,7,balanced,88793,medium,standard,no_restriction,no_preference,lowest_cost,December,5,adventure_traveller,50,38,78,87,61,82,67,17,57,78,68,23,train
T000640,Pune,friends,6,0,0,6,easy_going,69850,low,luxury,no_restriction,non_vegetarian,lowest_cost,November,4,adventure_traveller,56,53,82,74,67,77,69,0,63,76,65,19,train
T000641,Indore,couple,2,0,0,2,balanced,25628,low,premium,no_restriction,non_vegetarian,fastest,April,2,family_traveller,72,78,76,37,67,60,58,48,57,63,53,62,train
T000642,Jaipur,family,3,4,0,7,balanced,49494,low,premium,no_restriction,no_preference,balanced,November,2,family_traveller,78,87,88,71,51,69,34,72,56,56,32,52,train
T000643,Chennai,solo,1,0,0,1,balanced,31454,medium,standard,no_restriction,vegetarian,private_transport,December,5,beach_traveller,70,30,84,87,66,30,61,55,13,80,38,0,train
T000644,Pune,solo,1,0,0,1,balanced,10140,low,standard,no_restriction,non_vegetarian,balanced,March,2,beach_traveller,3,57,15,80,89,29,16,40,88,39,10,98,train
T000645,Kolkata,couple,2,0,0,2,balanced,21507,low,budget,no_restriction,non_vegetarian,lowest_cost,November,4,nightlife_traveller,69,40,39,72,62,57,83,81,5,63,54,4,train
T000646,Kolkata,couple,2,0,0,2,packed,24492,low,premium,no_restriction,no_preference,balanced,March,2,beach_traveller,45,3,77,86,1,81,98,3,72,99,79,50,test
T000647,Delhi,friends,6,0,0,6,packed,36125,medium,standard,no_restriction,vegetarian,public_transport,November,1,food_traveller,94,82,32,67,51,15,39,94,50,75,14,45,train
T000648,Pune,solo,1,0,0,1,balanced,7535,low,standard,no_restriction,vegetarian,balanced,March,1,nightlife_traveller,76,89,51,54,52,53,82,89,25,69,69,22,test
T000649,Delhi,seniors,2,0,3,5,balanced,70844,medium,standard,no_restriction,vegetarian,private_transport,December,5,senior_traveller,94,80,86,64,56,5,9,70,72,54,60,71,train
T000650,Jaipur,seniors,2,0,1,3,easy_going,26386,low,premium,no_restriction,no_preference,lowest_cost,December,3,senior_traveller,81,79,73,39,48,31,23,56,44,52,65,63,train
T000651,Hyderabad,family,5,4,0,9,easy_going,60453,low,premium,no_restriction,no_preference,public_transport,May,2,family_traveller,85,90,78,44,44,60,78,61,52,54,56,81,train
T000652,Pune,friends,8,0,0,8,balanced,70427,medium,budget,no_restriction,vegetarian,balanced,February,3,wellness_traveller,100,59,73,53,94,3,10,70,53,55,69,48,train
T000653,Indore,family,2,2,0,4,packed,33750,medium,budget,no_restriction,non_vegetarian,balanced,September,2,culture_traveller,59,81,67,65,50,49,19,59,86,84,75,77,train
T000654,Chennai,solo,1,0,0,1,balanced,12510,low,standard,no_restriction,vegetarian,fastest,February,2,food_traveller,87,69,61,64,28,22,65,86,66,53,6,35,train
T000655,Delhi,family,4,1,0,5,balanced,159416,high,premium,no_restriction,vegetarian,fastest,January,6,family_traveller,76,99,88,70,54,56,65,50,53,48,51,57,train
T000656,Hyderabad,family,4,1,0,5,packed,45435,high,standard,no_restriction,jain,lowest_cost,December,2,adventure_traveller,50,53,85,83,56,76,47,14,62,87,66,19,train
T000657,Delhi,solo,1,0,0,1,balanced,24479,medium,standard,no_restriction,no_preference,balanced,September,3,senior_traveller,80,72,75,54,45,27,37,67,69,40,54,62,train
T000658,Delhi,solo,1,0,0,1,packed,6399,medium,budget,no_restriction,no_preference,private_transport,June,1,family_traveller,89,90,74,81,58,59,37,49,69,59,58,59,train
T000659,Delhi,couple,2,0,0,2,easy_going,34293,medium,budget,no_restriction,non_vegetarian,lowest_cost,September,5,family_traveller,75,84,83,57,43,60,50,45,72,83,80,64,validation
T000660,Kochi,family,3,4,1,8,easy_going,106396,medium,budget,no_restriction,jain,lowest_cost,December,5,wellness_traveller,70,45,91,53,82,7,28,79,46,77,61,57,validation
T000661,Indore,family,2,3,0,5,easy_going,53192,medium,budget,no_restriction,vegetarian,lowest_cost,October,5,family_traveller,53,76,96,89,8,98,14,4,74,90,94,82,train
T000662,Nagpur,family,3,1,0,4,easy_going,62833,high,budget,no_restriction,non_vegetarian,balanced,December,4,family_traveller,81,72,87,66,56,60,78,55,45,63,43,54,train
T000663,Chennai,family,4,2,0,6,packed,76671,low,luxury,no_restriction,no_preference,balanced,November,3,family_traveller,79,12,1,91,26,58,83,74,4,56,54,35,validation
T000664,Pune,seniors,2,0,2,4,packed,37224,low,standard,reduced_walking,no_preference,fastest,March,3,adventure_traveller,51,27,69,28,48,20,82,92,40,44,98,14,train
T000665,Chennai,couple,2,0,0,2,balanced,58067,high,standard,no_restriction,vegetarian,lowest_cost,November,4,beach_traveller,52,23,74,85,42,52,49,17,15,74,54,20,validation
T000666,Indore,couple,2,0,0,2,balanced,51299,high,budget,no_restriction,no_preference,public_transport,May,5,wellness_traveller,91,48,86,41,99,1,20,31,56,51,70,51,train
T000667,Kochi,couple,2,0,0,2,packed,40104,low,premium,no_restriction,vegetarian,lowest_cost,January,4,adventure_traveller,36,62,87,93,65,82,62,10,52,71,74,25,train
T000668,Jaipur,seniors,0,0,4,4,balanced,94054,medium,standard,no_restriction,vegan,balanced,January,11,senior_traveller,95,93,93,56,41,52,20,71,50,68,27,52,validation
T000669,Kolkata,family,3,3,0,6,easy_going,29629,low,standard,no_restriction,no_preference,fastest,December,2,family_traveller,74,87,84,33,64,38,73,59,51,68,61,72,validation
T000670,Kochi,seniors,0,0,1,1,packed,11891,medium,budget,no_restriction,jain,fastest,February,3,senior_traveller,84,74,71,53,64,25,8,58,67,42,57,73,train
T000671,Nagpur,couple,2,0,0,2,balanced,40547,high,budget,no_restriction,non_vegetarian,fastest,January,4,wellness_traveller,79,68,81,38,91,17,34,40,55,63,55,42,test
T000672,Pune,friends,3,0,0,3,easy_going,25907,low,standard,no_restriction,vegan,lowest_cost,June,3,balanced_traveller,68,47,81,73,76,67,45,37,74,39,76,65,train
T000673,Hyderabad,seniors,1,0,2,3,packed,20623,low,budget,no_restriction,non_vegetarian,fastest,April,4,senior_traveller,5,93,97,0,90,17,56,67,35,52,62,19,train
T000674,Bengaluru,couple,2,0,0,2,balanced,8385,low,budget,no_restriction,non_vegetarian,lowest_cost,December,1,wellness_traveller,82,61,70,68,77,6,41,65,68,62,55,53,train
T000675,Pune,friends,7,0,0,7,balanced,35041,low,budget,no_restriction,no_preference,fastest,June,3,culture_traveller,12,37,32,21,84,2,82,92,63,62,14,56,validation
T000676,Ahmedabad,family,4,2,1,7,easy_going,155748,high,standard,no_restriction,vegan,balanced,May,5,balanced_traveller,62,88,57,68,48,73,48,62,53,62,54,47,validation
T000677,Chennai,friends,3,0,0,3,balanced,66630,medium,luxury,no_restriction,non_vegetarian,lowest_cost,December,3,balanced_traveller,49,48,53,60,40,63,40,72,63,79,65,53,train
T000678,Hyderabad,couple,2,0,0,2,balanced,30853,medium,standard,no_restriction,no_preference,lowest_cost,December,4,nightlife_traveller,68,39,49,72,68,58,90,81,25,76,54,10,train
T000679,Kochi,solo,1,0,0,1,balanced,23147,high,standard,no_restriction,vegetarian,fastest,March,3,food_traveller,88,87,39,27,72,25,56,87,80,73,32,46,train
T000680,Jaipur,couple,2,0,0,2,easy_going,50572,medium,luxury,no_restriction,vegetarian,balanced,November,2,balanced_traveller,41,54,33,60,56,52,45,57,50,55,80,59,train
T000681,Hyderabad,family,3,3,1,7,easy_going,84669,medium,budget,no_restriction,non_vegetarian,lowest_cost,October,5,family_traveller,73,85,83,56,50,68,50,60,59,52,46,51,train
T000682,Jaipur,couple,2,0,0,2,balanced,62000,medium,standard,no_restriction,no_preference,private_transport,May,7,family_traveller,81,21,58,34,60,26,56,0,37,82,46,49,train
T000683,Kochi,solo,1,0,0,1,easy_going,46618,high,standard,no_restriction,no_preference,fastest,January,4,food_traveller,80,94,50,53,54,2,60,75,50,48,12,46,train
T000684,Chennai,solo,1,0,0,1,packed,52347,high,standard,no_restriction,non_vegetarian,lowest_cost,May,6,nightlife_traveller,81,87,61,61,37,24,49,13,67,47,17,58,train
T000685,Kolkata,couple,2,0,0,2,easy_going,16498,medium,standard,no_restriction,no_preference,lowest_cost,January,1,food_traveller,90,78,71,61,71,30,27,86,52,70,27,64,train
T000686,Kochi,solo,1,0,0,1,packed,27575,medium,premium,no_restriction,vegan,fastest,December,2,nightlife_traveller,79,47,56,38,65,50,85,89,24,66,32,13,validation
T000687,Kochi,solo,1,0,0,1,packed,6446,medium,budget,no_restriction,no_preference,public_transport,February,1,balanced_traveller,50,68,53,69,61,56,55,54,64,58,48,47,train
T000688,Jaipur,couple,2,0,0,2,easy_going,60567,medium,premium,no_restriction,non_vegetarian,balanced,September,5,beach_traveller,69,23,70,65,67,73,47,53,12,77,69,22,train
T000689,Pune,friends,6,0,0,6,easy_going,59773,high,budget,no_restriction,no_preference,balanced,December,2,wellness_traveller,84,62,81,54,91,33,38,61,73,52,54,71,test
T000690,Ahmedabad,seniors,2,0,1,3,balanced,14419,low,standard,no_restriction,jain,lowest_cost,December,1,nightlife_traveller,74,40,77,72,54,61,85,83,3,27,46,43,train
T000691,Mumbai,family,2,3,0,5,balanced,49222,low,premium,no_restriction,no_preference,balanced,December,4,food_traveller,85,81,61,65,61,23,73,69,47,57,10,52,test
T000692,Ahmedabad,couple,2,0,0,2,packed,19338,high,budget,no_restriction,vegetarian,lowest_cost,April,2,wellness_traveller,87,61,88,52,94,28,21,64,48,31,49,65,train
T000693,Mumbai,friends,5,0,0,5,easy_going,34934,medium,premium,no_restriction,non_vegetarian,balanced,May,1,adventure_traveller,49,53,75,71,66,80,64,23,63,65,46,27,train
T000694,Ahmedabad,couple,2,0,0,2,balanced,31749,low,budget,no_restriction,non_vegetarian,lowest_cost,August,9,culture_traveller,62,94,54,69,46,24,0,45,81,79,41,78,test
T000695,Bengaluru,friends,5,0,0,5,balanced,30474,medium,budget,no_restriction,non_vegetarian,public_transport,September,2,wellness_traveller,75,64,90,40,85,0,17,74,39,37,59,73,train
T000696,Mumbai,solo,1,0,0,1,balanced,16136,medium,budget,no_restriction,vegetarian,public_transport,November,5,nightlife_traveller,80,53,65,49,77,48,83,80,14,83,51,16,test
T000697,Mumbai,couple,2,0,0,2,packed,85652,medium,luxury,no_restriction,vegan,fastest,July,4,balanced_traveller,38,48,67,51,52,52,71,45,60,56,57,59,validation
T000698,Hyderabad,family,5,1,0,6,balanced,176511,medium,standard,no_restriction,vegetarian,lowest_cost,January,11,balanced_traveller,44,65,55,63,56,54,48,42,73,75,44,43,test
T000699,Kochi,couple,2,0,0,2,packed,27941,low,standard,no_restriction,no_preference,public_transport,October,4,wellness_traveller,82,50,82,44,88,32,35,52,44,61,78,57,train
T000700,Delhi,family,5,4,0,9,easy_going,85434,medium,budget,no_restriction,no_preference,lowest_cost,January,3,senior_traveller,91,93,71,43,53,21,16,50,53,62,41,85,train
T000701,Kochi,couple,2,0,0,2,easy_going,10687,low,standard,no_restriction,no_preference,balanced,December,1,beach_traveller,80,44,65,83,65,62,75,72,23,100,68,15,train
T000702,Ahmedabad,friends,6,0,0,6,balanced,63215,medium,budget,no_restriction,vegetarian,fastest,January,4,balanced_traveller,64,72,63,59,70,86,53,66,56,63,57,31,train
T000703,Indore,family,5,3,0,8,balanced,132402,medium,luxury,no_restriction,vegan,private_transport,March,3,beach_traveller,18,7,43,86,82,74,0,86,39,73,72,17,train
T000704,Nagpur,couple,2,0,0,2,balanced,19409,medium,standard,no_restriction,no_preference,lowest_cost,September,2,culture_traveller,63,83,83,64,49,26,16,72,84,85,39,82,train
T000705,Pune,family,2,3,0,5,balanced,55858,medium,premium,no_restriction,no_preference,balanced,February,3,family_traveller,93,91,93,73,75,43,64,71,73,47,64,57,train
T000706,Indore,couple,2,0,0,2,packed,13087,medium,budget,no_restriction,no_preference,public_transport,December,2,balanced_traveller,46,55,65,68,72,61,61,66,49,49,55,41,validation
T000707,Kochi,solo,1,0,0,1,balanced,32445,medium,premium,no_restriction,vegan,public_transport,December,4,adventure_traveller,47,50,94,89,66,77,70,30,59,77,58,41,validation
T000708,Pune,solo,1,0,0,1,easy_going,19119,low,budget,no_restriction,no_preference,fastest,January,6,culture_traveller,47,78,61,56,62,21,16,75,87,84,65,76,train
T000709,Mumbai,couple,2,0,0,2,balanced,30437,high,budget,no_restriction,no_preference,balanced,November,3,adventure_traveller,1,35,83,91,6,3,15,76,20,23,88,87,validation
T000710,Mumbai,friends,8,0,0,8,easy_going,75723,high,standard,no_restriction,no_preference,public_transport,November,2,adventure_traveller,71,7,33,78,74,64,69,65,64,34,2,44,test
T000711,Bengaluru,couple,2,0,0,2,balanced,29418,medium,standard,no_restriction,no_preference,balanced,December,4,food_traveller,73,77,49,32,50,34,66,86,58,74,6,45,test
T000712,Mumbai,couple,2,0,0,2,balanced,32071,medium,standard,no_restriction,no_preference,private_transport,December,3,adventure_traveller,68,58,69,75,44,82,50,40,38,72,59,26,train
T000713,Mumbai,solo,1,0,0,1,easy_going,58294,medium,premium,wheelchair_friendly_preference,no_preference,lowest_cost,October,6,family_traveller,75,82,93,52,35,52,53,35,59,63,79,41,train
T000714,Hyderabad,family,5,4,0,9,easy_going,145777,high,standard,no_restriction,no_preference,balanced,November,4,family_traveller,73,78,94,33,56,71,71,64,65,44,73,42,train
T000715,Kolkata,couple,2,0,0,2,easy_going,20216,medium,standard,no_restriction,no_preference,private_transport,January,2,adventure_traveller,2,24,11,11,60,60,4,59,14,37,98,52,train
T000716,Kochi,seniors,1,0,2,3,balanced,18216,medium,premium,no_restriction,vegetarian,private_transport,June,1,senior_traveller,31,60,60,27,95,30,80,83,9,23,21,91,test
T000717,Nagpur,solo,1,0,0,1,easy_going,35832,medium,premium,no_restriction,vegetarian,lowest_cost,December,3,food_traveller,100,97,85,60,59,23,57,83,66,51,2,61,test
T000718,Ahmedabad,family,5,2,0,7,balanced,60734,medium,budget,no_restriction,vegetarian,public_transport,December,4,nightlife_traveller,77,73,59,47,39,48,75,89,33,44,66,28,train
T000719,Ahmedabad,friends,7,0,0,7,balanced,55562,medium,budget,no_restriction,vegetarian,balanced,January,3,adventure_traveller,64,43,85,76,55,95,40,16,41,83,69,22,train
